MSUSAM,MSUTDK,MSSWIT,MSJPAN,MSCNDA,MSAUST,MSNZEA,MSSWDN,MSNWAY,MSDNMK,MSGERM,MSITAL,MSFRNC,MSNETH,MSBELG,MSFIND,MSEIRE,MSHGKG,MSSARF,MSSING,MSASTR,MSINDI,MSINDF,MSMALF,MSMEXF,MSPHLF,MSPLND,MSPORD,MSKORE,MSSPAN,MSTAIW,MSTHAF,MSBRAZ,MSISRL
1062.116,1561.327,1356.356,3377.296,734.21,550.869,75.241,1956.396,1271.311,1982.223,1147.108,313.638,1389.427,2506.58,2645.126,51.036,137.422,7624.419,109.401,2592.986,1501.3,97.96,393.376,227.269,1411.226,339.148,102.324,60.641,123.003,568.322,152.351,427.692,307.666,104.146
1076.114,1523.247,1343.62,3524.124,775.5,593.714,80.935,2029.762,1265.375,1894.253,1206.745,316.916,1510.771,2588.287,2654.531,52.396,134.166,8409.487,114.505,2638.451,1588.255,100.374,425.177,238.554,1328.13,382.21,102.936,64.076,114.531,564.164,201.054,422.635,367.147,99.451
1098.308,1634.813,1430.811,4020.52,796.684,617.632,84.207,2051.086,1409.199,1918.882,1241.354,290.999,1580.787,2755.766,2887.779,57.152,158.885,8438.182,117.985,2637.541,1559.259,84.865,429.785,246.123,1508.279,355.164,120.361,64.55,121.297,600.098,217.371,392.591,378.215,105.222
1074.114,1683.174,1469.673,4735.78,825.056,622.142,89.155,2254.053,1479.944,2016.146,1224.743,354.049,1558.85,2745.974,2813.029,71.184,163.525,9083.491,122.086,2841.388,1542.707,79.367,442.427,287.497,1403.794,368.994,168.024,63.234,132.379,604.315,206.645,406.151,373.915,104.354
1101.624,1695.328,1581.702,4866.881,837.32,611.67,90.596,2491.484,1462.451,2059.579,1221.928,363.706,1519.239,2804.4,2772.831,73.569,164.565,9866.023,129.178,2931.439,1573.939,83.461,492.716,297.748,1387.304,362.476,365.101,70.035,140.801,592.613,192.589,395.56,420.681,104.995
1105.089,1677.875,1583.416,4800.049,831.745,598.292,92.479,2319.363,1401.596,2086.487,1182.005,355.54,1497.311,2784.463,2799.963,69.579,164.78,9515.265,129.89,2827.399,1570.332,84.465,520.916,286.209,1406.577,360.864,320.239,66.621,137.334,590.733,179.125,411.383,472.327,101.293
1103.94,1673.054,1578.439,5104.726,826.085,657.609,104.674,2383.172,1458.794,2010.03,1221.581,361.39,1516.4,2789.589,2739.977,74.866,160.689,9339.169,139.884,2845.79,1637.359,89.61,516.877,300.772,1485.291,387.293,363.225,64.98,132.551,554.596,175.735,425.913,476.935,90.06
1143.856,1790.659,1689.352,5216.737,832.554,685.945,114.902,2605.964,1598.38,2101.191,1358.192,405.918,1648.931,3073.784,2761.613,83.12,170.8,10019.957,127.758,3219.318,1813.644,101.733,633.957,329.901,1627.273,399.099,483.956,79.121,123.654,675.284,172.093,438.049,510.395,102.236
1132.651,1770.168,1746.892,4969.422,792.004,669.243,112.422,2647.03,1568.24,2175.698,1381.491,381.471,1634.984,3088.658,2793.408,83.443,168.502,10229.135,137.068,3362.678,1771.625,106.219,612.928,354.536,1570.067,440.911,494.854,74.381,132.287,657.114,169.28,450.031,549.584,112.798
1152.626,1839.64,1845.465,4947.448,866.506,745.502,127.579,2896.034,1746.517,2265.736,1464.168,368.009,1649.87,3272.96,2903.557,94.844,174.008,12605.785,142.654,3541.196,1900.992,104.455,638.269,411.206,1732.024,516.931,600.159,78.692,135.127,698.2,181.13,581.532,507.649,111.797
